symbol,number,multiplicity,wyckoff,site_symmetry,coordinates
C 2/m 1 1,70,4.0,g,2,"(x,0,0) (-x,0,0)"
C 2/m 1 1,70,4.0,f,-1,"(1/4,1/4,1/2) (1/4,3/4,1/2)"
C 2/m 1 1,70,4.0,e,-1,"(1/4,1/4,0) (1/4,3/4,0)"
C 2/m 1 1,70,2.0,d,2/m,"(1/2,0,1/2)"
C 2/m 1 1,70,2.0,c,2/m,"(0,0,1/2)"
C 2/m 1 1,70,2.0,b,2/m,"(1/2,0,0)"
C 2/m 1 1,70,2.0,a,2/m,"(0,0,0)"
I 2/m 1 1,71,8.0,j,1,"(x,y,z) (x,-y,-z) (-x,-y,-z) (-x,y,z)"
I 2/m 1 1,71,4.0,i,m,"(0,y,z) (0,-y,-z)"
I 2/m 1 1,71,4.0,h,2,"(x,1/2,0) (-x,1/2,0)"
I 2/m 1 1,71,4.0,g,2,"(x,0,0) (-x,0,0)"
I 2/m 1 1,71,4.0,f,-1,"(1/4,3/4,1/4) (1/4,1/4,3/4)"
I 2/m 1 1,71,4.0,e,-1,"(1/4,1/4,1/4) (1/4,3/4,3/4)"
I 2/m 1 1,71,2.0,d,2/m,"(1/2,1/2,0)"
I 2/m 1 1,71,2.0,c,2/m,"(0,1/2,0)"
I 2/m 1 1,71,2.0,b,2/m,"(1/2,0,0)"
I 2/m 1 1,71,2.0,a,2/m,"(0,0,0)"
P 1 2/c 1,72,4.0,g,1,"(x,y,z) (-x,y,-z+1/2) (-x,-y,-z) (x,-y,z+1/2)"
P 1 2/c 1,72,2.0,f,2,"(1/2,y,1/4) (1/2,-y,3/4)"
P 1 2/c 1,72,2.0,e,2,"(0,y,1/4) (0,-y,3/4)"
P 1 2/c 1,72,2.0,d,-1,"(1/2,0,0) (1/2,0,1/2)"
P 1 2/c 1,72,2.0,c,-1,"(0,1/2,0) (0,1/2,1/2)"
P 1 2/c 1,72,2.0,b,-1,"(1/2,1/2,0) (1/2,1/2,1/2)"
P 1 2/c 1,72,2.0,a,-1,"(0,0,0) (0,0,1/2)"
P 1 2/n 1,73,4.0,g,1,"(x,y,z) (-x+1/2,y,-z+1/2) (-x,-y,-z) (x+1/2,-y,z+1/2)"
P 1 2/n 1,73,2.0,f,2,"(3/4,y,1/4) (1/4,-y,3/4)"
P 1 2/n 1,73,2.0,e,2,"(1/4,y,1/4) (3/4,-y,3/4)"
P 1 2/n 1,73,2.0,d,-1,"(1/2,0,0) (0,0,1/2)"
P 1 2/n 1,73,2.0,c,-1,"(0,1/2,0) (1/2,1/2,1/2)"
P 1 2/n 1,73,2.0,b,-1,"(1/2,1/2,0) (0,1/2,1/2)"
P 1 2/n 1,73,2.0,a,-1,"(0,0,0) (1/2,0,1/2)"
P 1 2/a 1,74,4.0,g,1,"(x,y,z) (-x+1/2,y,-z) (-x,-y,-z) (x+1/2,-y,z)"
P 1 2/a 1,74,2.0,f,2,"(3/4,y,1/2) (1/4,-y,1/2)"
P 1 2/a 1,74,2.0,e,2,"(3/4,y,0) (1/4,-y,0)"
P 1 2/a 1,74,2.0,d,-1,"(0,0,1/2) (1/2,0,1/2)"
P 1 2/a 1,74,2.0,c,-1,"(0,1/2,0) (1/2,1/2,0)"
P 1 2/a 1,74,2.0,b,-1,"(0,1/2,1/2) (1/2,1/2,1/2)"
P 1 2/a 1,74,2.0,a,-1,"(0,0,0) (1/2,0,0)"
P 1 1 2/a,75,4.0,g,1,"(x,y,z) (-x+1/2,-y,z) (-x,-y,-z) (x+1/2,y,-z)"
P 1 1 2/a,75,2.0,f,2,"(1/4,1/2,z) (3/4,1/2,-z)"
P 1 1 2/a,75,2.0,e,2,"(1/4,0,z) (3/4,0,-z)"
P 1 1 2/a,75,2.0,d,-1,"(0,1/2,0) (1/2,1/2,0)"
P 1 1 2/a,75,2.0,c,-1,"(0,0,1/2) (1/2,0,1/2)"
P 1 1 2/a,75,2.0,b,-1,"(0,1/2,1/2) (1/2,1/2,1/2)"
P 1 1 2/a,75,2.0,a,-1,"(0,0,0) (1/2,0,0)"
P 1 1 2/n,76,4.0,g,1,"(x,y,z) (-x+1/2,-y+1/2,z) (-x,-y,-z) (x+1/2,y+1/2,-z)"
P 1 1 2/n,76,2.0,f,2,"(1/4,3/4,z) (3/4,1/4,-z)"
P 1 1 2/n,76,2.0,e,2,"(1/4,1/4,z) (3/4,3/4,-z)"
P 1 1 2/n,76,2.0,d,-1,"(0,1/2,0) (1/2,0,0)"
P 1 1 2/n,76,2.0,c,-1,"(0,0,1/2) (1/2,1/2,1/2)"
P 1 1 2/n,76,2.0,b,-1,"(0,1/2,1/2) (1/2,0,1/2)"
P 1 1 2/n,76,2.0,a,-1,"(0,0,0) (1/2,1/2,0)"
P 1 1 2/b,77,4.0,g,1,"(x,y,z) (-x,-y+1/2,z) (-x,-y,-z) (x,y+1/2,-z)"
P 1 1 2/b,77,2.0,f,2,"(1/2,3/4,z) (1/2,1/4,-z)"
P 1 1 2/b,77,2.0,e,2,"(0,3/4,z) (0,1/4,-z)"
P 1 1 2/b,77,2.0,d,-1,"(1/2,0,0) (1/2,1/2,0)"
P 1 1 2/b,77,2.0,c,-1,"(0,0,1/2) (0,1/2,1/2)"
P 1 1 2/b,77,2.0,b,-1,"(1/2,0,1/2) (1/2,1/2,1/2)"
P 1 1 2/b,77,2.0,a,-1,"(0,0,0) (0,1/2,0)"
P 2/b 1 1,78,4.0,g,1,"(x,y,z) (x,-y+1/2,-z) (-x,-y,-z) (-x,y+1/2,z)"
P 2/b 1 1,78,2.0,f,2,"(x,1/4,1/2) (-x,3/4,1/2)"
P 2/b 1 1,78,2.0,e,2,"(x,1/4,0) (-x,3/4,0)"
P 2/b 1 1,78,2.0,d,-1,"(0,0,1/2) (0,1/2,1/2)"
P 2/b 1 1,78,2.0,c,-1,"(1/2,0,0) (1/2,1/2,0)"
P 2/b 1 1,78,2.0,b,-1,"(1/2,0,1/2) (1/2,1/2,1/2)"
P 2/b 1 1,78,2.0,a,-1,"(0,0,0) (0,1/2,0)"
P 2/n 1 1,79,4.0,g,1,"(x,y,z) (x,-y+1/2,-z+1/2) (-x,-y,-z) (-x,y+1/2,z+1/2)"
P 2/n 1 1,79,2.0,f,2,"(x,1/4,3/4) (-x,3/4,1/4)"
P 2/n 1 1,79,2.0,e,2,"(x,1/4,1/4) (-x,3/4,3/4)"
P 2/n 1 1,79,2.0,d,-1,"(0,0,1/2) (0,1/2,0)"
P 2/n 1 1,79,2.0,c,-1,"(1/2,0,0) (1/2,1/2,1/2)"
P 2/n 1 1,79,2.0,b,-1,"(1/2,0,1/2) (1/2,1/2,0)"
P 2/n 1 1,79,2.0,a,-1,"(0,0,0) (0,1/2,1/2)"
P 2/c 1 1,80,4.0,g,1,"(x,y,z) (x,-y,-z+1/2) (-x,-y,-z) (-x,y,z+1/2)"
P 2/c 1 1,80,2.0,f,2,"(x,1/2,3/4) (-x,1/2,1/4)"
P 2/c 1 1,80,2.0,e,2,"(x,0,3/4) (-x,0,1/4)"
P 2/c 1 1,80,2.0,d,-1,"(0,1/2,0) (0,1/2,1/2)"
P 2/c 1 1,80,2.0,c,-1,"(1/2,0,0) (1/2,0,1/2)"
P 2/c 1 1,80,2.0,b,-1,"(1/2,1/2,0) (1/2,1/2,1/2)"
P 2/c 1 1,80,2.0,a,-1,"(0,0,0) (0,0,1/2)"
P 1 2_1/c 1,81,4.0,e,1,"(x,y,z) (-x,y+1/2,-z+1/2) (-x,-y,-z) (x,-y+1/2,z+1/2)"
P 1 2_1/c 1,81,2.0,d,-1,"(1/2,0,1/2) (1/2,1/2,0)"
P 1 2_1/c 1,81,2.0,c,-1,"(0,0,1/2) (0,1/2,0)"
P 1 2_1/c 1,81,2.0,b,-1,"(1/2,0,0) (1/2,1/2,1/2)"
P 1 2_1/c 1,81,2.0,a,-1,"(0,0,0) (0,1/2,1/2)"
P 1 2_1/n 1,82,4.0,e,1,"(x,y,z) (-x+1/2,y+1/2,-z+1/2) (-x,-y,-z) (x+1/2,-y+1/2,z+1/2)"
P 1 2_1/n 1,82,2.0,d,-1,"(0,0,1/2) (1/2,1/2,0)"
P 1 2_1/n 1,82,2.0,c,-1,"(1/2,0,1/2) (0,1/2,0)"
P 1 2_1/n 1,82,2.0,b,-1,"(1/2,0,0) (0,1/2,1/2)"
P 1 2_1/n 1,82,2.0,a,-1,"(0,0,0) (1/2,1/2,1/2)"
P 1 2_1/a 1,83,4.0,e,1,"(x,y,z) (-x+1/2,y+1/2,-z) (-x,-y,-z) (x+1/2,-y+1/2,z)"
P 1 2_1/a 1,83,2.0,d,-1,"(1/2,0,1/2) (0,1/2,1/2)"
P 1 2_1/a 1,83,2.0,c,-1,"(1/2,0,0) (0,1/2,0)"
P 1 2_1/a 1,83,2.0,b,-1,"(0,0,1/2) (1/2,1/2,1/2)"
P 1 2_1/a 1,83,2.0,a,-1,"(0,0,0) (1/2,1/2,0)"
