number,multiplicity,wyckoff,wyckoff_in_space,site_symmetry,coordinates
68,6,e,g,1,"(x,y,z) (-y,x-y,z) (-x+y,-x,z) (y,x,-z) (x-y,-y,-z) (-x,-x+y,-z)"
68,3,d,e,.2.,"(x,0,0) (0,x,0) (-x,-x,0)"
68,2,c,d,3..,"(1/3,2/3,z) (2/3,1/3,-z)"
68,2,b,c,3..,"(0,0,z) (0,0,-z)"
68,1,a,a,32,"(0,0,0)"
69,6,e,e,1,"(x,y,z) (-y,x-y,z) (-x+y,-x,z) (-y,-x,z) (-x+y,y,z) (x,x-y,z)"
69,3,d,d,.m.,"(x,-x,z) (x,2x,z) (-2x,-x,z)"
69,1,c,c,3m.,"(2/3,1/3,z)"
69,1,b,b,3m.,"(1/3,2/3,z)"
69,1,a,a,3m.,"(0,0,z)"
70,6,d,d,1,"(x,y,z) (-y,x-y,z) (-x+y,-x,z) (y,x,z) (x-y,-y,z) (-x,-x+y,z)"
70,3,c,c,..m,"(x,0,z) (0,x,z) (-x,-x,z)"
70,2,b,b,3..,"(1/3,2/3,z) (2/3,1/3,z)"
70,1,a,a,3.m,"(0,0,z)"
71,12,h,l,1,"(x,y,z) (-y,x-y,z) (-x+y,-x,z) (-y,-x,-z) (-x+y,y,-z) (x,x-y,-z) (-x,-y,-z) (y,-x+y,-z) (x-y,x,-z) (y,x,z) (x-y,-y,z) (-x,-x+y,z)"
71,6,g,k,..m,"(x,0,z) (0,x,z) (-x,-x,z) (0,-x,-z) (-x,0,-z) (x,x,-z)"
71,6,f,i,..2,"(x,-x,0) (x,2x,0) (-2x,-x,0) (-x,x,0) (-x,-2x,0) (2x,x,0)"
71,4,e,h,3..,"(1/3,2/3,z) (1/3,2/3,-z) (2/3,1/3,-z) (2/3,1/3,z)"
71,3,d,f,..2/m,"(1/2,0,0) (0,1/2,0) (1/2,1/2,0)"
71,2,c,e,3.m,"(0,0,z) (0,0,-z)"
71,2,b,c,3.2,"(1/3,2/3,0) (2/3,1/3,0)"
71,1,a,a,-3.m,"(0,0,0)"
72,12,g,j,1,"(x,y,z) (-y,x-y,z) (-x+y,-x,z) (y,x,-z) (x-y,-y,-z) (-x,-x+y,-z) (-x,-y,-z) (y,-x+y,-z) (x-y,x,-z) (-y,-x,z) (-x+y,y,z) (x,x-y,z)"
72,6,f,i,.m.,"(x,-x,z) (x,2x,z) (-2x,-x,z) (-x,x,-z) (2x,x,-z) (-x,-2x,-z)"
72,6,e,g,.2.,"(x,0,0) (0,x,0) (-x,-x,0) (-x,0,0) (0,-x,0) (x,x,0)"
72,3,d,e,.2/m.,"(1/2,0,0) (0,1/2,0) (1/2,1/2,0)"
72,2,c,d,3m.,"(1/3,2/3,z) (2/3,1/3,-z)"
72,2,b,c,3m.,"(0,0,z) (0,0,-z)"
72,1,a,a,-3m.,"(0,0,0)"
73,6,d,d,1,"(x,y,z) (-y,x-y,z) (-x+y,-x,z) (-x,-y,z) (y,-x+y,z) (x-y,x,z)"
73,3,c,c,2..,"(1/2,0,z) (0,1/2,z) (1/2,1/2,z)"
73,2,b,b,3..,"(1/3,2/3,z) (2/3,1/3,z)"
73,1,a,a,6..,"(0,0,z)"
74,6,h,l,1,"(x,y,z) (-y,x-y,z) (-x+y,-x,z) (x,y,-z) (-y,x-y,-z) (-x+y,-x,-z)"
74,3,g,j,m..,"(x,y,0) (-y,x-y,0) (-x+y,-x,0)"
74,2,f,i,3..,"(2/3,1/3,z) (2/3,1/3,-z)"
74,2,e,h,3..,"(1/3,2/3,z) (1/3,2/3,-z)"
74,2,d,g,3..,"(0,0,z) (0,0,-z)"
74,1,c,e,-6..,"(2/3,1/3,0)"
74,1,b,c,-6..,"(1/3,2/3,0)"
74,1,a,a,-6..,"(0,0,0)"
75,12,h,l,1,"(x,y,z) (-y,x-y,z) (-x+y,-x,z) (-x,-y,z) (y,-x+y,z) (x-y,x,z) (-x,-y,-z) (y,-x+y,-z) (x-y,x,-z) (x,y,-z) (-y,x-y,-z) (-x+y,-x,-z)"
75,6,g,j,m..,"(x,y,0) (-y,x-y,0) (-x+y,-x,0) (-x,-y,0) (y,-x+y,0) (x-y,x,0)"
75,6,f,i,2..,"(1/2,0,z) (0,1/2,z) (1/2,1/2,z) (1/2,0,-z) (0,1/2,-z) (1/2,1/2,-z)"
75,4,e,h,3..,"(1/3,2/3,z) (2/3,1/3,z) (1/3,2/3,-z) (2/3,1/3,-z)"
75,3,d,f,2/m..,"(1/2,0,0) (0,1/2,0) (1/2,1/2,0)"
75,2,c,e,6..,"(0,0,z) (0,0,-z)"
75,2,b,c,-6..,"(1/3,2/3,0) (2/3,1/3,0)"
75,1,a,a,6/m..,"(0,0,0)"
76,12,i,n,1,"(x,y,z) (-y,x-y,z) (-x+y,-x,z) (-x,-y,z) (y,-x+y,z) (x-y,x,z) (y,x,-z) (x-y,-y,-z) (-x,-x+y,-z) (-y,-x,-z) (-x+y,y,-z) (x,x-y,-z)"
76,6,h,l,..2,"(x,-x,0) (x,2x,0) (-2x,-x,0) (-x,x,0) (-x,-2x,0) (2x,x,0)"
